,0
813,2
814,2
815,2
816,1
817,1
818,1
819,1
820,1
821,1
822,1
823,1
824,2
825,2
826,2
827,2
828,2
829,2
830,2
831,2
832,2
833,3
834,3
835,2
836,2
837,2
838,2
839,2
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,2
851,2
852,2
853,2
854,2
855,2
856,2
857,3
858,3
859,2
860,2
861,2
862,2
863,2
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,2
872,2
873,2
874,2
875,2
876,2
877,2
878,2
879,2
880,3
881,3
882,3
883,3
884,3
885,2
886,2
887,2
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,2
896,2
897,2
898,2
899,2
900,2
901,2
902,2
903,2
904,3
905,3
906,3
907,3
908,3
909,2
910,2
911,2
912,1
913,1
914,1
915,1
916,1
917,1
918,2
919,2
920,2
921,2
922,2
923,2
924,2
925,2
926,2
927,2
928,2
929,3
930,3
931,3
932,3
933,2
934,2
935,2
936,1
937,1
938,1
939,1
940,1
941,1
942,2
943,2
944,2
945,2
946,2
947,2
948,2
949,2
950,2
951,2
952,2
953,3
954,3
955,3
956,2
957,2
958,2
959,2
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,2
969,2
970,2
971,2
972,2
973,2
974,2
975,2
976,2
977,3
978,3
979,2
980,2
981,2
982,2
983,2
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,2
994,2
995,2
996,2
997,2
998,2
999,2
1000,2
1001,3
1002,3
1003,2
1004,2
1005,2
1006,2
1007,2
1008,1
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,1
1016,2
1017,2
1018,2
1019,2
1020,2
1021,2
1022,2
1023,2
1024,2
1025,2
1026,2
1027,2
1028,2
1029,2
1030,2
1031,2
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,2
1040,2
1041,2
1042,2
1043,2
1044,2
1045,2
1046,2
1047,2
1048,2
1049,3
1050,3
1051,3
1052,3
1053,2
1054,2
1055,2
1056,1
1057,1
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,2
1065,2
1066,2
1067,2
1068,2
1069,2
1070,2
1071,2
1072,2
1073,3
1074,3
1075,3
1076,3
1077,2
1078,2
1079,2
1080,1
1081,1
1082,1
1083,1
1084,1
1085,1
1086,1
1087,1
1088,3
1089,3
1090,2
1091,2
1092,2
1093,2
1094,2
1095,2
1096,2
1097,3
1098,3
1099,3
1100,3
1101,2
1102,2
1103,2
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,1
1111,3
1112,3
1113,3
1114,3
1115,3
1116,3
1117,3
1118,3
1119,3
1120,3
1121,3
1122,3
1123,3
1124,3
1125,3
1126,2
1127,2
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,3
1136,3
1137,3
1138,3
1139,3
1140,3
1141,3
1142,2
1143,2
1144,2
1145,3
1146,3
1147,3
1148,2
1149,2
1150,2
1151,2
1152,1
1153,1
1154,1
1155,1
1156,1
1157,1
1158,1
1159,1
1160,1
1161,3
1162,3
1163,3
1164,3
1165,3
1166,3
1167,3
1168,3
1169,2
1170,3
1171,2
1172,2
1173,2
1174,2
1175,2
1176,1
1177,1
1178,1
1179,1
1180,1
1181,1
1182,1
1183,1
1184,1
1185,1
1186,3
1187,3
1188,3
1189,3
1190,3
1191,3
1192,3
1193,3
1194,3
1195,3
1196,3
1197,3
1198,2
1199,2
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,1
1208,3
1209,3
1210,3
1211,3
1212,3
1213,3
1214,3
1215,3
1216,3
1217,3
1218,3
1219,3
1220,3
1221,3
1222,2
1223,2
1224,1
1225,1
1226,1
1227,1
1228,1
1229,1
1230,1
1231,3
1232,3
1233,3
1234,3
1235,3
1236,3
1237,3
1238,3
1239,3
1240,3
1241,3
1242,3
1243,3
1244,2
1245,2
1246,2
1247,2
1248,1
1249,1
1250,1
1251,1
1252,1
1253,1
1254,3
1255,3
1256,3
1257,3
1258,3
1259,3
1260,3
1261,3
1262,3
1263,3
1264,3
1265,3
1266,3
1267,3
1268,3
1269,2
1270,2
1271,2
1272,1
1273,1
1274,1
1275,1
1276,1
1277,1
1278,1
1279,3
1280,3
1281,3
1282,2
1283,2
1284,2
1285,2
1286,2
1287,2
1288,2
1289,3
1290,3
1291,3
1292,3
1293,3
1294,2
1295,2
1296,1
1297,1
1298,1
1299,1
1300,1
1301,1
1302,1
1303,3
1304,3
1305,3
1306,3
1307,2
1308,2
1309,2
1310,2
1311,2
1312,2
1313,3
1314,3
1315,3
1316,2
1317,2
1318,2
1319,2
1320,1
1321,1
1322,1
1323,1
1324,1
1325,1
1326,1
1327,2
1328,2
1329,2
1330,2
1331,2
1332,2
1333,2
1334,2
1335,2
1336,2
1337,2
1338,3
1339,3
1340,2
1341,2
1342,2
1343,3
1344,1
1345,1
1346,1
1347,1
1348,1
1349,1
1350,1
1351,2
1352,2
1353,2
1354,2
1355,2
1356,2
1357,2
1358,2
1359,2
1360,2
1361,3
1362,2
1363,2
1364,2
1365,2
1366,2
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,1
1374,3
1375,3
1376,3
1377,3
1378,2
1379,2
1380,2
1381,2
1382,2
1383,2
1384,3
1385,3
1386,3
1387,2
1388,2
1389,2
1390,2
1391,1
1392,1
1393,1
1394,1
1395,1
1396,1
1397,1
1398,3
1399,3
1400,3
1401,3
1402,2
1403,2
1404,2
1405,2
1406,2
1407,2
1408,3
1409,3
1410,3
1411,2
1412,2
1413,2
1414,2
1415,1
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,3
1423,3
1424,3
1425,3
1426,3
1427,3
1428,3
1429,3
1430,3
1431,3
1432,3
1433,3
1434,3
1435,2
1436,2
1437,2
1438,2
1439,1
1440,1
1441,1
1442,1
1443,1
1444,1
1445,1
1446,3
1447,3
1448,3
1449,2
1450,2
1451,2
1452,2
1453,2
1454,2
1455,2
1456,3
1457,3
1458,3
1459,2
1460,2
1461,2
1462,2
1463,1
1464,1
1465,1
1466,1
1467,1
1468,1
1469,1
1470,3
1471,3
1472,3
1473,3
1474,2
1475,2
1476,2
1477,2
1478,2
1479,2
1480,3
1481,3
1482,3
1483,2
1484,2
1485,2
1486,2
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,1
1495,1
1496,1
1497,1
1498,2
1499,2
1500,2
1501,2
1502,2
1503,2
1504,2
1505,3
1506,2
1507,2
1508,2
1509,2
1510,2
1511,1
1512,1
1513,1
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,2
1521,2
1522,2
1523,2
1524,2
1525,2
1526,2
1527,2
1528,2
1529,3
1530,2
1531,2
1532,2
1533,2
1534,2
1535,1
1536,1
1537,1
1538,1
1539,1
1540,1
1541,1
1542,2
1543,2
1544,2
1545,2
1546,2
1547,2
1548,2
1549,2
1550,2
1551,2
1552,2
1553,3
1554,2
1555,2
1556,2
1557,2
1558,2
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,1
1566,2
1567,2
1568,2
1569,2
1570,2
1571,2
1572,2
1573,2
1574,2
1575,2
1576,2
1577,2
1578,2
1579,2
1580,2
1581,2
1582,2
1583,1
1584,1
1585,1
1586,1
1587,1
1588,1
1589,2
1590,2
1591,2
1592,2
1593,2
1594,2
1595,2
1596,2
1597,2
1598,2
1599,2
1600,2
1601,3
1602,2
1603,2
1604,2
1605,2
1606,2
1607,1
1608,1
1609,1
1610,1
1611,1
1612,1
1613,1
1614,1
1615,1
1616,2
1617,2
1618,2
1619,2
1620,2
1621,2
1622,2
1623,2
1624,2
1625,3
1626,3
1627,2
1628,2
1629,2
1630,2
1631,1
1632,1
1633,1
1634,1
1635,1
1636,1
1637,1
1638,1
1639,1
1640,2
1641,2
1642,2
1643,2
1644,2
1645,2
1646,2
1647,2
1648,2
1649,3
1650,2
1651,2
1652,2
1653,2
1654,2
1655,1
1656,1
1657,1
1658,1
1659,1
1660,1
1661,1
1662,1
1663,1
1664,2
1665,2
1666,2
1667,2
1668,2
1669,2
1670,2
1671,2
1672,2
1673,3
1674,2
1675,2
1676,2
1677,2
1678,2
1679,1
1680,1
1681,1
1682,1
1683,1
1684,1
1685,1
1686,1
1687,1
1688,2
1689,2
1690,2
1691,2
1692,2
1693,2
1694,2
1695,2
1696,2
1697,2
1698,2
1699,2
1700,2
1701,2
1702,2
1703,1
1704,1
1705,1
1706,1
1707,1
1708,1
1709,1
1710,2
1711,2
1712,2
1713,2
1714,2
1715,2
1716,2
1717,2
1718,2
1719,2
1720,2
1721,3
1722,2
1723,2
1724,2
1725,2
1726,2
1727,1
1728,1
1729,1
1730,1
1731,1
1732,1
1733,1
1734,2
1735,2
1736,2
1737,2
1738,2
1739,2
1740,2
1741,2
1742,2
1743,2
1744,2
1745,2
1746,3
1747,2
1748,2
1749,2
1750,2
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,2
1759,2
1760,2
1761,2
1762,2
1763,2
1764,2
1765,2
1766,2
1767,2
1768,2
1769,2
1770,3
1771,2
1772,2
1773,2
1774,2
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,1
1782,1
1783,2
1784,2
1785,2
1786,2
1787,2
1788,2
1789,2
1790,2
1791,2
1792,2
1793,3
1794,3
1795,2
1796,2
1797,2
1798,2
1799,1
1800,1
1801,1
1802,1
1803,1
1804,1
1805,1
1806,1
1807,1
1808,1
1809,2
1810,2
1811,2
1812,2
1813,2
1814,2
1815,2
1816,2
1817,3
1818,3
1819,2
1820,2
1821,2
1822,2
1823,1
1824,1
1825,1
1826,1
1827,1
1828,1
1829,1
1830,1
1831,1
1832,2
1833,2
1834,2
1835,2
1836,2
1837,2
1838,2
1839,2
1840,2
1841,2
1842,2
1843,2
1844,2
1845,2
1846,2
1847,1
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,1
1855,1
1856,2
1857,2
1858,2
1859,2
1860,2
1861,2
1862,2
1863,2
1864,2
1865,2
1866,2
1867,2
1868,2
1869,2
1870,2
1871,1
1872,1
1873,1
1874,1
1875,1
1876,1
1877,1
1878,1
1879,2
1880,2
1881,2
1882,2
1883,2
1884,2
1885,2
1886,2
1887,2
1888,2
1889,3
1890,3
1891,2
1892,2
1893,2
1894,2
1895,1
1896,1
1897,1
1898,1
1899,1
1900,1
1901,1
1902,1
1903,2
1904,2
1905,2
1906,2
1907,2
1908,2
1909,2
1910,2
1911,2
1912,2
1913,3
1914,3
1915,2
1916,2
1917,2
1918,2
1919,1
1920,1
1921,1
1922,1
1923,1
1924,1
1925,1
1926,2
1927,2
1928,2
1929,2
1930,2
1931,2
1932,2
1933,2
1934,2
1935,2
1936,2
1937,3
1938,3
1939,2
1940,2
1941,2
1942,2
1943,1
1944,1
1945,1
1946,1
1947,1
1948,1
1949,1
1950,2
1951,2
1952,2
1953,2
1954,2
1955,2
1956,2
1957,2
1958,2
1959,2
1960,2
1961,3
1962,3
1963,2
1964,2
1965,2
1966,2
1967,1
1968,1
1969,1
1970,1
1971,1
1972,1
1973,1
1974,1
1975,3
1976,3
1977,2
1978,2
1979,2
1980,2
1981,2
1982,2
1983,2
1984,2
1985,3
1986,3
1987,2
1988,2
1989,2
1990,2
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,2
2000,2
2001,2
2002,2
2003,2
2004,2
2005,2
2006,2
2007,2
2008,2
2009,3
2010,3
2011,2
2012,2
2013,2
2014,2
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,1
2022,1
2023,2
2024,2
2025,2
2026,2
2027,2
2028,2
2029,2
2030,2
2031,2
2032,2
2033,2
2034,3
2035,3
2036,3
2037,2
2038,2
2039,1
2040,1
2041,1
2042,1
2043,1
2044,1
2045,1
2046,1
2047,2
2048,2
2049,3
2050,3
2051,3
2052,3
2053,3
2054,3
2055,3
2056,3
2057,3
2058,3
2059,3
2060,3
2061,2
2062,2
2063,1
2064,1
2065,1
2066,1
2067,1
2068,1
2069,1
2070,3
2071,3
2072,3
2073,3
2074,3
2075,3
2076,3
2077,3
2078,3
2079,3
2080,3
2081,3
2082,3
2083,3
2084,2
2085,2
2086,2
2087,1
2088,1
2089,1
2090,1
2091,1
2092,1
2093,1
2094,3
2095,3
2096,2
2097,2
2098,2
2099,2
2100,2
2101,2
2102,2
2103,2
2104,2
2105,2
2106,3
2107,3
2108,2
2109,2
2110,2
2111,1
2112,1
2113,1
2114,1
2115,1
2116,1
2117,1
2118,3
2119,3
2120,2
2121,2
2122,2
2123,2
2124,2
2125,2
2126,2
2127,2
2128,3
2129,3
2130,3
2131,3
2132,2
2133,2
2134,2
2135,1
2136,1
2137,1
2138,1
2139,1
2140,1
2141,2
2142,2
2143,2
2144,2
2145,2
2146,2
2147,2
2148,2
2149,2
2150,2
2151,2
2152,2
2153,2
2154,3
2155,3
2156,2
2157,2
2158,2
2159,1
2160,1
2161,1
2162,1
2163,1
2164,1
2165,1
2166,1
2167,2
2168,2
2169,2
2170,2
2171,2
2172,2
2173,2
2174,2
2175,2
2176,2
2177,2
2178,3
2179,3
2180,2
2181,2
2182,2
2183,1
2184,1
2185,1
2186,1
2187,1
2188,1
2189,1
2190,1
2191,3
2192,3
2193,3
2194,3
2195,3
2196,3
2197,3
2198,3
2199,3
2200,2
2201,2
2202,3
2203,3
2204,2
2205,2
2206,2
2207,1
2208,1
2209,1
2210,1
2211,1
2212,1
2213,1
2214,1
2215,1
2216,1
2217,2
2218,2
2219,2
2220,2
2221,2
2222,2
2223,2
2224,2
2225,2
2226,2
2227,2
2228,2
2229,2
2230,2
2231,1
2232,1
2233,1
2234,1
2235,1
2236,1
2237,2
2238,2
2239,2
2240,2
2241,2
2242,2
2243,2
2244,2
2245,2
2246,2
2247,2
2248,2
2249,2
2250,2
2251,2
2252,2
2253,2
2254,2
2255,1
2256,1
2257,1
2258,1
2259,1
2260,1
2261,2
2262,2
2263,2
2264,2
2265,2
2266,2
2267,2
2268,2
2269,2
2270,2
2271,2
2272,2
2273,2
2274,2
2275,2
2276,2
2277,2
2278,2
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,1
2286,1
2287,2
2288,2
2289,2
2290,2
2291,2
2292,2
2293,2
2294,2
2295,2
2296,2
2297,2
2298,2
2299,3
2300,2
2301,2
2302,2
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,2
2312,2
2313,2
2314,2
2315,2
2316,2
2317,2
2318,2
2319,2
2320,2
2321,2
2322,2
2323,2
2324,2
2325,2
2326,2
2327,1
2328,1
2329,1
2330,1
2331,1
2332,1
2333,1
2334,1
2335,1
2336,1
2337,1
2338,2
2339,2
2340,2
2341,2
2342,2
2343,2
2344,2
2345,2
2346,2
2347,2
2348,2
2349,2
2350,2
2351,1
2352,1
2353,1
2354,1
2355,1
2356,1
2357,1
2358,1
2359,1
2360,2
2361,2
2362,2
2363,2
2364,2
2365,2
2366,2
2367,2
2368,2
2369,2
2370,2
2371,2
2372,2
2373,2
2374,2
2375,1
2376,1
2377,1
2378,1
2379,1
2380,1
2381,1
2382,2
2383,2
2384,2
2385,2
2386,2
2387,2
2388,2
2389,2
2390,2
2391,2
2392,2
2393,2
2394,2
2395,2
2396,2
2397,2
2398,2
2399,1
2400,1
2401,1
2402,1
2403,1
2404,1
2405,1
2406,2
2407,2
2408,2
2409,2
2410,2
2411,2
2412,2
2413,2
2414,2
2415,2
2416,2
2417,2
2418,2
2419,2
2420,2
2421,2
2422,2
2423,1
2424,1
2425,1
2426,1
2427,1
2428,1
2429,1
2430,2
2431,2
2432,2
2433,2
2434,2
2435,2
2436,2
2437,2
2438,2
2439,2
2440,2
2441,2
2442,2
2443,2
2444,2
2445,2
2446,2
2447,1
2448,1
2449,1
2450,1
2451,1
2452,1
2453,1
2454,1
2455,1
2456,2
2457,2
2458,2
2459,2
2460,2
2461,2
2462,2
2463,2
2464,2
2465,2
2466,2
2467,3
2468,2
2469,2
2470,2
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,1
2478,1
2479,2
2480,2
2481,2
2482,2
2483,2
2484,2
2485,2
2486,2
2487,2
2488,2
2489,2
2490,2
2491,2
2492,2
2493,2
2494,2
2495,1
2496,1
2497,1
2498,1
2499,1
2500,1
2501,1
2502,1
2503,1
2504,2
2505,2
2506,2
2507,2
2508,2
2509,2
2510,2
2511,2
2512,2
2513,2
2514,2
2515,2
2516,2
2517,2
2518,2
2519,1
2520,1
2521,1
2522,1
2523,1
2524,1
2525,1
2526,1
2527,2
2528,2
2529,2
2530,2
2531,2
2532,2
2533,2
2534,2
2535,2
2536,2
2537,2
2538,2
2539,2
2540,2
2541,2
2542,2
2543,1
2544,1
2545,1
2546,1
2547,1
2548,1
2549,1
2550,2
2551,2
2552,2
2553,2
2554,2
2555,3
2556,3
2557,3
2558,3
2559,3
2560,3
2561,3
2562,3
2563,3
2564,3
2565,2
2566,2
2567,1
2568,1
2569,1
2570,1
2571,1
2572,1
2573,1
2574,2
2575,2
2576,2
2577,2
2578,2
2579,2
2580,2
2581,3
2582,3
2583,3
2584,3
2585,3
2586,2
2587,3
2588,2
2589,2
2590,2
2591,1
2592,1
2593,1
2594,1
2595,1
2596,1
2597,1
2598,2
2599,2
2600,2
2601,2
2602,2
2603,2
2604,2
2605,2
2606,2
2607,2
2608,2
2609,2
2610,2
2611,2
2612,2
2613,2
2614,2
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,2
2623,2
2624,2
2625,2
2626,2
2627,2
2628,2
2629,2
2630,2
2631,2
2632,2
2633,2
2634,2
2635,2
2636,2
2637,2
2638,2
2639,1
2640,1
2641,1
2642,1
2643,1
2644,1
2645,1
2646,2
2647,2
2648,2
2649,2
2650,2
2651,2
2652,2
2653,2
2654,2
2655,2
2656,2
2657,2
2658,2
2659,2
2660,2
2661,2
2662,2
2663,1
2664,1
2665,1
2666,1
2667,1
2668,1
2669,1
2670,1
2671,2
2672,2
2673,2
2674,2
2675,2
2676,2
2677,2
2678,2
2679,2
2680,2
2681,2
2682,2
2683,2
2684,2
2685,2
2686,2
2687,1
2688,1
2689,1
2690,1
2691,1
2692,1
2693,1
2694,1
2695,2
2696,2
2697,2
2698,2
2699,2
2700,2
2701,2
2702,2
2703,2
2704,2
2705,2
2706,2
2707,2
2708,2
2709,2
2710,2
2711,1
2712,1
2713,1
2714,1
2715,1
2716,1
2717,1
2718,1
2719,2
2720,2
2721,2
2722,2
2723,2
2724,2
2725,2
2726,2
2727,2
2728,2
2729,2
2730,2
2731,2
2732,2
2733,2
2734,2
2735,1
2736,1
2737,1
2738,1
2739,1
2740,1
2741,1
2742,2
2743,2
2744,2
2745,2
2746,2
2747,2
2748,2
2749,2
2750,2
2751,2
2752,2
2753,2
2754,2
2755,2
2756,2
2757,2
2758,2
2759,1
2760,1
2761,1
2762,1
2763,1
2764,1
2765,1
2766,2
2767,2
2768,2
2769,2
2770,2
2771,2
2772,2
2773,2
2774,2
2775,2
2776,2
2777,2
2778,2
2779,2
2780,2
2781,2
2782,2
2783,1
2784,1
2785,1
2786,1
2787,1
2788,1
2789,1
2790,2
2791,2
2792,2
2793,2
2794,2
2795,2
2796,2
2797,2
2798,2
2799,2
2800,2
2801,2
2802,2
2803,2
2804,2
2805,2
2806,2
2807,1
2808,1
2809,1
2810,1
2811,1
2812,1
2813,1
2814,2
2815,2
2816,2
2817,2
2818,2
2819,2
2820,2
2821,2
2822,2
2823,2
2824,2
2825,2
2826,2
2827,2
2828,2
2829,2
2830,2
2831,1
2832,1
2833,1
2834,1
2835,1
2836,1
2837,1
2838,1
2839,2
2840,2
2841,2
2842,2
2843,2
2844,2
2845,2
2846,2
2847,2
2848,2
2849,2
2850,2
2851,2
2852,2
2853,2
2854,2
2855,1
2856,1
2857,1
2858,1
2859,1
2860,1
2861,1
2862,1
2863,2
2864,2
2865,2
2866,2
2867,2
2868,2
2869,2
2870,2
2871,2
2872,2
2873,2
2874,2
2875,2
2876,2
2877,2
2878,2
2879,1
2880,1
2881,1
2882,1
2883,1
2884,1
2885,1
2886,1
2887,1
2888,1
2889,1
2890,1
2891,1
2892,1
2893,1
2894,1
2895,2
2896,2
2897,2
2898,2
2899,2
2900,2
2901,2
2902,2
2903,1
2904,1
2905,1
2906,1
2907,1
2908,1
2909,1
2910,1
2911,2
2912,2
2913,2
2914,2
2915,2
2916,2
2917,2
2918,2
2919,2
2920,2
2921,2
2922,2
2923,2
2924,2
2925,2
2926,2
2927,1
2928,1
2929,1
2930,1
2931,1
2932,1
2933,1
2934,1
2935,2
2936,2
2937,2
2938,2
2939,2
2940,2
2941,2
2942,2
2943,2
2944,2
2945,2
2946,2
2947,2
2948,2
2949,2
2950,2
2951,1
2952,1
2953,1
2954,1
2955,1
2956,1
2957,1
2958,1
2959,2
2960,2
2961,2
2962,2
2963,2
2964,2
2965,2
2966,2
2967,2
2968,2
2969,2
2970,2
2971,2
2972,2
2973,2
2974,2
2975,1
2976,1
2977,1
2978,1
2979,1
2980,1
2981,1
2982,1
2983,2
2984,2
2985,2
2986,2
2987,2
2988,2
2989,2
2990,2
2991,2
2992,2
2993,2
2994,2
2995,2
2996,2
2997,2
